price(mln),area,latitude,longitude,Bedrooms,Bathrooms,Balcony,parking,Lift,Status,neworold,Furnished_status,type_of_building
31.0,1450.0,19.046959,72.915291,3.0,3.0,3.0,3.0,3.0,SAS,New Property,Unfurnished,Flat
16.8,1045.0,19.1154908,72.87269520000001,2.0,2.0,4.0,4.0,4.0,Ready to Move,Resale,SAS,Flat
10.0,1120.0,19.28217,72.87654,3.0,3.0,0.0,0.0,0.0,Ready to Move,Resale,SAS,Flat
53.0,1551.0,19.019546508789062,72.8382568359375,3.0,3.0,0.0,0.0,0.0,Ready to Move,Resale,Semi-Furnished,Flat
21.0,1000.0,19.2099437,72.83086920000001,2.0,2.0,0.0,0.0,0.0,Ready to Move,Resale,Semi-Furnished,Flat
32.5,1750.0,19.17074086970388,72.94742109999993,3.0,3.0,0.0,0.0,0.0,Ready to Move,Resale,SAS,Flat
50.0,1100.0,19.0576160943522,72.83346899768641,3.0,3.0,0.0,0.0,0.0,Ready to Move,Resale,SAS,Flat
13.0,850.0,19.19576,72.83778000000001,2.0,2.0,0.0,0.0,0.0,Ready to Move,Resale,Semi-Furnished,Flat
13.5,965.0,19.28217,72.87654,2.0,2.0,3.0,3.0,3.0,Ready to Move,Resale,Furnished,Flat
4.5,600.0,19.0810128,72.8500709,3.0,2.0,0.0,0.0,0.0,Ready to Move,Resale,Unfurnished,Flat
115.0,3150.0,18.996264,72.821022,4.0,4.0,1.0,1.0,1.0,Ready to Move,Resale,SAS,Flat
25.0,900.0,19.1629924,72.83930190000001,3.0,2.0,1.0,1.0,1.0,Ready to Move,Resale,SAS,Flat
11.0,1400.0,19.282169342041016,72.87654113769531,3.0,3.0,4.0,4.0,4.0,Ready to Move,Resale,Unfurnished,Flat
14.5,668.0,19.2335321,72.839198,2.0,2.0,0.0,0.0,0.0,Ready to Move,Resale,Semi-Furnished,Flat
13.0,825.0,19.152517,72.94255,2.0,2.0,0.0,0.0,0.0,Ready to Move,Resale,SAS,Flat
41.900000000000006,959.0,19.0937492,72.922604,2.0,2.0,1.0,1.0,1.0,Ready to Move,Resale,SAS,Flat
23.0,645.0,18.95492,72.82961,2.0,2.0,0.0,0.0,0.0,Ready to Move,Resale,SAS,Individual House
7.8,1030.0,19.1746739,72.94310379999999,3.0,2.0,0.0,0.0,0.0,Ready to Move,Resale,Furnished,Flat
18.5,1100.0,19.2099437,72.83086920000001,2.0,2.0,0.0,0.0,0.0,Ready to Move,Resale,Furnished,Individual House
176.5,2800.0,18.950754,72.80206379999998,4.0,5.0,0.0,0.0,0.0,Ready to Move,Resale,Furnished,Individual House
26.5,1100.0,19.2335321,72.839198,3.0,2.0,0.0,0.0,0.0,Ready to Move,Resale,Unfurnished,Flat
45.0,1400.0,18.9734119,72.8207392,2.0,3.0,2.0,2.0,2.0,Ready to Move,Resale,SAS,Flat
13.0,630.0,19.148058,72.86863107621055,2.0,2.0,0.0,0.0,0.0,SAS,New Property,Unfurnished,Flat
